Customer_Age,Gender,Dependent_count,Marital_Status,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Education_Level_Doctorate,Education_Level_Graduate,Education_Level_High School,Education_Level_Post-Graduate,Education_Level_Uneducated,Education_Level_Unknown,Income_Category_$40K - $60K,Income_Category_$60K - $80K,Income_Category_$80K - $120K,Income_Category_Less than $40K,Income_Category_Unknown
37,1,3,2,0,36,5,2,0,22352.0,2517,3.355,1350,24,1.182,0.113,False,False,False,False,True,False,False,True,False,False,False
44,1,3,2,3,36,1,2,2,34516.0,1106,0.776,7936,76,0.767,0.032,False,False,True,False,False,False,False,False,False,False,False
53,0,0,1,0,36,6,2,3,2883.0,1936,0.861,4244,53,0.656,0.672,False,False,True,False,False,False,True,False,False,False,False
37,1,0,2,0,27,5,2,3,15326.0,0,1.159,2990,55,0.964,0.0,False,False,False,True,False,False,False,False,True,False,False
37,0,4,1,0,18,5,1,2,2930.0,2024,0.903,1686,34,0.7,0.691,False,False,False,False,True,False,False,False,False,True,False
34,0,3,1,0,25,6,2,2,2275.0,1468,0.757,4977,88,0.692,0.645,False,True,False,False,False,False,True,False,False,False,False
55,0,1,2,0,49,1,4,3,2721.0,0,0.508,5443,73,0.973,0.0,False,True,False,False,False,False,False,False,False,False,True
55,0,2,2,0,43,1,3,1,1745.0,1168,0.701,4562,67,0.634,0.669,False,True,False,False,False,False,False,False,False,True,False
36,0,1,2,0,25,6,3,3,1888.0,0,0.928,1886,66,0.65,0.0,False,False,False,False,False,False,True,False,False,False,False
50,1,3,2,0,45,4,2,3,21872.0,1118,0.658,1806,31,0.409,0.051,False,True,False,False,False,False,False,True,False,False,False
49,0,1,1,0,36,6,2,1,5153.0,1378,0.744,4274,81,0.723,0.267,False,True,False,False,False,False,False,False,False,True,False
39,0,2,2,0,28,6,2,2,1493.0,792,0.688,4131,80,0.702,0.53,False,False,False,False,False,True,False,False,False,False,True
39,1,2,1,0,35,4,3,2,7410.0,2517,1.924,2398,37,1.176,0.34,False,False,False,False,False,False,False,True,False,False,False
47,1,4,0,0,35,3,2,1,4907.0,773,0.517,5088,71,0.651,0.158,False,False,False,False,False,True,True,False,False,False,False
53,1,3,2,0,36,4,3,2,34516.0,2517,0.741,1475,33,0.833,0.073,False,True,False,False,False,False,False,False,True,False,False
44,1,3,2,0,33,6,3,3,4131.0,785,0.543,906,22,1.2,0.19,False,True,False,False,False,False,False,False,True,False,False
47,0,2,0,0,33,6,2,3,5624.0,1216,0.691,3843,66,1.0,0.216,False,False,False,True,False,False,True,False,False,False,False
53,1,1,2,0,43,4,2,3,11909.0,1018,1.006,1938,53,0.656,0.085,False,True,False,False,False,False,False,False,True,False,False
46,1,5,0,0,31,1,2,2,34516.0,1802,0.871,7936,101,0.485,0.052,True,False,False,False,False,False,False,False,False,False,False
50,0,2,0,0,40,6,2,5,8307.0,2517,1.743,2293,36,0.8,0.303,False,True,False,False,False,False,True,False,False,False,False
40,1,3,1,3,27,3,1,2,34516.0,0,0.834,3193,53,0.559,0.0,False,True,False,False,False,False,False,False,True,False,False
45,0,3,1,0,32,2,5,1,2948.0,968,0.946,7834,86,0.509,0.328,False,False,True,False,False,False,False,False,False,True,False
33,0,1,1,0,20,2,2,2,1507.0,0,0.723,4698,87,0.851,0.0,False,True,False,False,False,False,False,False,False,True,False
47,1,3,2,0,36,3,3,4,34516.0,0,0.517,2020,33,0.375,0.0,False,False,False,False,True,False,False,False,False,False,False
51,0,3,2,0,39,5,2,1,4038.0,1237,0.61,4188,68,0.545,0.306,False,False,True,False,False,False,False,False,False,True,False
48,0,3,3,0,40,2,6,1,2337.0,0,0.586,5203,90,0.765,0.0,False,False,False,False,False,False,False,False,False,False,True
52,0,2,1,0,36,3,1,3,4950.0,1829,0.671,4529,73,0.872,0.369,False,True,False,False,False,False,False,False,False,True,False
33,0,2,1,0,23,4,2,4,6732.0,0,0.856,1644,45,0.731,0.0,False,False,False,False,True,False,True,False,False,False,False
39,0,2,2,0,27,4,2,2,6205.0,2517,0.939,1204,19,0.727,0.406,False,False,False,True,False,False,False,False,False,True,False
53,0,3,1,0,47,5,6,2,2759.0,2223,1.32,2093,42,1.0,0.806,False,True,False,False,False,False,False,False,False,True,False
50,1,3,0,0,36,3,2,3,14409.0,511,0.799,2351,39,0.3,0.035,False,False,False,True,False,False,False,True,False,False,False
53,1,3,1,0,43,5,3,2,5264.0,2169,0.374,1219,27,0.5,0.412,False,False,True,False,False,False,False,True,False,False,False
32,1,1,1,0,26,3,2,3,2576.0,1754,1.027,2880,69,0.468,0.681,False,False,True,False,False,False,True,False,False,False,False
29,0,2,1,0,25,6,3,2,2732.0,1746,1.028,4702,85,0.771,0.639,False,True,False,False,False,False,False,False,False,True,False
40,1,4,1,0,36,2,2,2,17606.0,1377,0.861,8104,83,0.627,0.078,False,False,False,False,True,False,False,False,False,False,False
33,0,4,0,0,24,6,2,2,9857.0,0,0.699,3448,103,0.635,0.0,False,False,False,False,False,False,False,False,False,True,False
44,0,2,1,0,37,4,5,4,3203.0,2076,0.543,1433,38,1.0,0.648,False,True,False,False,False,False,False,False,False,True,False
45,1,2,1,0,34,3,2,1,5771.0,2248,1.791,1387,18,0.8,0.39,False,False,False,False,True,False,True,False,False,False,False
36,0,1,2,0,21,3,2,1,1937.0,733,0.826,4547,73,0.973,0.378,False,False,False,False,True,False,False,False,False,True,False
58,0,3,0,0,36,2,2,3,1508.0,0,0.458,1990,31,0.192,0.0,False,False,False,False,False,True,False,False,False,True,False
64,1,0,2,3,56,5,4,4,12155.0,0,0.446,4618,60,0.875,0.0,False,False,False,False,False,False,False,False,False,True,False
49,0,2,1,0,35,3,3,4,3283.0,1856,1.103,4498,64,0.829,0.565,False,False,False,False,False,False,False,False,False,True,False
40,0,4,1,0,36,3,1,2,3706.0,1043,0.384,1688,38,0.583,0.281,False,True,False,False,False,False,False,False,False,False,True
51,1,3,1,0,44,3,3,3,24028.0,0,0.496,3531,73,0.738,0.0,False,False,False,False,True,False,False,False,True,False,False
55,0,1,1,0,46,6,4,3,4232.0,0,0.878,2312,37,0.609,0.0,False,True,False,False,False,False,False,False,False,True,False
35,0,3,2,0,17,6,1,1,2956.0,1823,0.969,2144,58,0.812,0.617,False,False,False,False,False,True,False,False,False,True,False
44,1,4,1,0,27,1,2,1,24134.0,1290,0.814,13311,110,0.642,0.053,True,False,False,False,False,False,False,False,True,False,False
30,1,2,2,0,16,5,3,5,4533.0,1977,0.664,2679,69,0.605,0.436,False,False,False,True,False,False,True,False,False,False,False
37,1,1,2,0,26,6,3,2,15755.0,1410,0.839,2061,61,0.649,0.089,False,False,False,False,False,False,False,True,False,False,False
64,1,0,1,0,55,5,3,4,2492.0,1424,0.485,1375,30,0.364,0.571,False,False,False,False,False,False,False,False,False,True,False
41,0,3,2,0,36,4,2,4,4210.0,1597,0.733,4342,72,0.674,0.379,False,False,False,False,False,False,False,False,False,False,True
55,1,3,2,0,36,5,3,3,12948.0,1839,1.113,2481,42,0.68,0.142,False,False,False,False,False,False,False,False,False,False,False
26,1,0,2,0,13,6,1,2,3290.0,1616,0.466,2781,54,0.35,0.491,False,True,False,False,False,False,True,False,False,False,False
41,1,3,2,0,33,4,1,3,9246.0,0,0.658,4611,91,0.569,0.0,False,False,True,False,False,False,False,True,False,False,False
60,0,1,2,0,47,1,1,1,3803.0,1448,0.565,4575,78,0.592,0.381,True,False,False,False,False,False,False,False,False,False,True
50,1,2,1,0,43,4,3,4,3143.0,0,0.764,2297,37,0.321,0.0,False,False,False,False,False,True,False,True,False,False,False
45,0,1,2,0,35,1,1,3,4977.0,1411,0.652,4182,85,0.848,0.284,False,True,False,False,False,False,False,False,False,True,False
57,1,2,1,0,45,5,3,3,5266.0,0,1.702,1516,29,1.636,0.0,False,False,False,False,False,True,False,False,False,False,False
50,0,2,0,0,36,3,2,4,2855.0,527,0.678,3645,69,0.605,0.185,False,False,False,False,False,True,False,False,False,True,False
56,0,4,3,0,49,5,3,3,4604.0,621,0.814,4586,79,0.646,0.135,False,False,False,True,False,False,False,False,False,True,False
42,0,4,2,0,36,6,2,3,1438.3,674,1.769,2451,55,1.292,0.469,False,False,False,True,False,False,False,False,False,True,False
45,0,2,2,0,38,3,2,1,7486.0,1758,0.613,4604,70,0.707,0.235,False,False,False,False,True,False,False,False,False,True,False
57,1,3,2,0,48,3,3,0,9426.0,1574,0.791,4212,75,0.531,0.167,False,True,False,False,False,False,True,False,False,False,False
55,1,2,2,3,45,3,1,4,34516.0,1433,0.728,1966,31,0.55,0.042,False,False,False,False,False,False,False,False,True,False,False
45,0,4,1,0,36,5,1,2,3240.0,1775,0.754,4200,67,0.675,0.548,True,False,False,False,False,False,False,False,False,True,False
48,1,2,1,0,36,3,3,3,27126.0,0,0.953,1000,25,0.786,0.0,False,False,True,False,False,False,False,False,False,False,False
47,0,1,2,0,36,6,2,3,2899.0,2418,0.575,4296,68,0.838,0.834,False,False,True,False,False,False,False,False,False,True,False
55,0,5,2,0,36,4,2,3,1438.3,0,0.571,2244,54,0.929,0.0,False,False,False,False,False,True,False,False,False,True,False
43,0,5,2,0,32,2,3,1,11508.0,0,1.005,5242,74,0.574,0.0,False,False,False,False,False,False,True,False,False,False,False
32,0,0,1,0,26,6,2,3,2778.0,2312,0.727,1680,33,1.062,0.832,False,False,True,False,False,False,False,False,False,True,False
57,0,1,1,0,36,5,2,3,1734.0,980,0.639,4313,92,0.917,0.565,False,False,True,False,False,False,False,False,False,False,True
55,1,3,1,0,49,3,1,4,5668.0,2517,0.704,3382,56,0.931,0.444,False,True,False,False,False,False,False,True,False,False,False
45,1,3,1,0,40,1,4,3,7979.0,0,0.465,5056,63,0.853,0.0,False,True,False,False,False,False,True,False,False,False,False
40,1,3,2,0,27,4,2,3,3427.0,0,0.5,2625,63,0.5,0.0,False,False,False,False,True,False,False,False,True,False,False
50,0,2,0,0,39,5,2,4,9716.0,874,0.775,5007,91,0.655,0.09,False,False,True,False,False,False,False,False,False,False,True
47,1,3,0,0,41,2,3,3,1943.0,0,0.494,5108,81,0.884,0.0,False,False,False,False,True,False,False,True,False,False,False
48,0,2,1,0,31,5,1,1,2315.0,1565,0.873,4828,90,0.8,0.676,False,True,False,False,False,False,False,False,False,True,False
52,0,3,2,0,36,3,2,1,24703.0,1085,0.998,4776,63,0.575,0.044,True,False,False,False,False,False,False,False,False,False,True
54,0,4,2,0,48,2,4,1,3089.0,1177,1.01,5237,75,0.829,0.381,False,False,True,False,False,False,True,False,False,False,False
45,0,2,0,0,36,6,4,3,17156.0,2517,0.717,1142,33,0.32,0.147,False,False,True,False,False,False,False,False,False,False,True
65,1,1,1,0,54,6,2,3,9095.0,1587,1.433,1314,26,1.364,0.174,False,False,False,False,False,True,True,False,False,False,False
48,1,4,2,0,36,5,2,3,7514.0,0,0.514,4789,69,0.408,0.0,False,True,False,False,False,False,True,False,False,False,False
52,1,4,2,3,41,1,1,2,34516.0,1701,0.715,7707,99,0.5,0.049,False,False,False,False,False,False,False,False,True,False,False
61,0,1,2,0,44,4,3,2,2303.0,540,0.57,3440,46,0.704,0.234,False,True,False,False,False,False,False,False,False,False,True
41,1,2,2,0,24,2,2,1,34516.0,1022,0.743,8202,88,0.913,0.03,False,False,False,False,True,False,False,False,False,False,False
38,1,1,2,0,28,2,2,2,21906.0,0,0.696,15349,119,0.7,0.0,False,False,True,False,False,False,False,True,False,False,False
54,0,2,1,0,44,3,3,1,6094.0,0,1.129,909,14,0.273,0.0,False,False,True,False,False,False,False,False,False,False,True
47,0,2,3,0,36,4,2,2,1738.0,0,1.124,2572,62,0.938,0.0,False,False,False,False,False,True,False,False,False,True,False
52,1,0,2,0,43,4,3,3,8133.0,1942,0.572,3310,76,0.583,0.239,False,True,False,False,False,False,False,False,True,False,False
42,1,4,2,0,36,5,2,3,10543.0,0,0.509,1841,39,0.5,0.0,False,False,False,False,False,False,True,False,False,False,False
56,1,2,2,0,49,5,3,2,5466.0,0,0.587,4435,79,0.881,0.0,False,False,False,False,True,False,False,False,True,False,False
61,1,0,1,0,48,1,3,1,15483.0,2148,0.738,14463,94,0.774,0.139,False,True,False,False,False,False,False,True,False,False,False
39,0,4,1,0,36,2,2,1,3600.0,2072,0.94,14137,116,0.966,0.576,False,False,True,False,False,False,False,False,False,True,False
56,0,2,2,0,38,5,1,4,3609.0,1026,0.67,4318,81,0.588,0.284,True,False,False,False,False,False,True,False,False,False,False
51,0,3,0,0,39,5,4,3,2987.0,1764,0.686,4339,72,0.6,0.591,False,True,False,False,False,False,False,False,False,True,False
41,1,5,2,0,28,5,1,4,4821.0,1426,0.898,3571,58,0.933,0.296,False,True,False,False,False,False,False,True,False,False,False
49,0,3,2,0,38,1,2,4,11025.0,0,0.501,1902,28,0.273,0.0,False,True,False,False,False,False,False,False,False,False,True
34,1,1,2,0,23,6,1,1,2033.0,1832,0.938,4110,74,0.947,0.901,False,False,False,False,True,False,False,True,False,False,False
44,0,4,0,0,26,4,1,3,2295.0,1250,0.912,3834,69,0.643,0.545,False,False,False,True,False,False,False,False,False,True,False
48,1,4,1,0,32,5,2,3,25190.0,0,0.467,1533,41,0.323,0.0,False,False,False,False,False,False,False,False,True,False,False
61,1,2,1,0,49,3,0,4,11374.0,2517,1.015,1088,26,1.167,0.221,False,True,False,False,False,False,False,False,False,False,False
47,0,4,2,0,36,3,3,2,2492.0,1560,0.573,1126,23,0.353,0.626,False,False,False,False,False,True,False,False,False,True,False
43,0,5,3,0,24,3,2,2,4430.0,2203,1.046,2742,49,0.4,0.497,False,False,True,False,False,False,True,False,False,False,False
49,0,4,0,0,37,2,6,1,1838.0,1155,0.742,7688,93,0.409,0.628,False,True,False,False,False,False,False,False,False,True,False
49,0,3,3,0,36,6,1,2,3088.0,1477,0.748,5095,77,0.833,0.478,False,True,False,False,False,False,True,False,False,False,False
36,0,3,2,0,22,1,3,1,2013.0,0,0.602,2425,50,0.923,0.0,False,True,False,False,False,False,True,False,False,False,False
35,1,3,2,3,17,6,3,2,16659.0,0,1.012,2551,74,0.609,0.0,False,True,False,False,False,False,True,False,False,False,False
48,1,1,2,0,36,1,3,1,2754.0,2152,0.821,13991,125,0.761,0.781,False,True,False,False,False,False,False,False,True,False,False
39,0,2,2,0,36,4,3,1,1438.3,576,0.849,2567,48,0.6,0.4,False,False,False,False,True,False,False,False,False,True,False
54,0,1,2,0,34,5,2,2,2939.0,2152,0.555,2476,42,0.355,0.732,False,True,False,False,False,False,False,False,False,True,False
53,1,2,1,0,40,3,3,3,11262.0,1435,0.735,2165,61,0.649,0.127,True,False,False,False,False,False,False,True,False,False,False
60,0,0,2,0,56,3,5,2,2213.0,829,0.639,4210,84,0.714,0.375,False,False,True,False,False,False,True,False,False,False,False
30,1,0,1,0,21,6,6,2,2490.0,0,0.859,1645,30,0.667,0.0,False,True,False,False,False,False,False,False,False,True,False
55,0,1,1,0,39,1,3,3,12972.0,1424,0.525,2238,36,0.2,0.11,True,False,False,False,False,False,False,False,False,False,True
38,1,2,1,0,27,6,2,4,1438.3,0,0.945,2412,58,0.657,0.0,False,False,False,False,True,False,False,False,False,True,False
44,1,4,1,0,38,3,1,3,2440.0,1501,0.744,4382,88,0.66,0.615,False,False,False,False,False,True,False,True,False,False,False
40,0,3,0,0,35,2,3,3,4772.0,2004,0.696,14748,118,0.761,0.42,False,False,False,False,True,False,False,False,False,True,False
51,1,1,2,0,41,6,2,2,18749.0,1314,0.711,1381,33,0.435,0.07,False,False,False,False,False,True,False,False,True,False,False
45,0,3,1,0,37,4,1,3,2104.0,1267,0.677,1732,35,1.059,0.602,False,False,True,False,False,False,False,False,False,True,False
50,1,3,2,0,31,5,3,3,9949.0,1597,0.659,3776,83,0.596,0.161,False,False,True,False,False,False,True,False,False,False,False
43,0,1,3,0,36,6,3,3,9851.0,0,1.034,1212,24,0.6,0.0,False,True,False,False,False,False,False,False,False,False,True
42,0,2,1,3,36,6,2,1,16290.0,0,0.758,4232,79,0.795,0.0,False,True,False,False,False,False,True,False,False,False,False
50,0,2,1,0,37,6,2,1,3600.0,1904,0.72,4946,75,0.531,0.529,False,False,False,False,False,False,True,False,False,False,False
41,0,3,2,0,29,6,3,3,2429.0,1966,1.046,4775,84,0.787,0.809,False,False,False,False,True,False,False,False,False,False,True
53,1,1,1,0,36,5,2,2,11329.0,1180,0.648,1213,33,0.571,0.104,False,True,False,False,False,False,False,False,True,False,False
45,0,5,3,0,36,1,2,3,2699.0,1583,0.648,4071,75,0.829,0.587,False,False,False,False,True,False,False,False,False,True,False
46,0,4,2,0,33,3,2,2,3942.0,1711,0.61,4622,71,0.614,0.434,False,False,True,False,False,False,False,False,False,True,False
45,1,5,1,0,39,2,3,3,3439.0,0,0.825,2661,35,0.296,0.0,False,False,False,False,False,False,False,True,False,False,False
50,0,2,2,0,36,5,3,2,1721.0,1037,0.721,2681,57,0.727,0.603,False,False,False,False,True,False,False,False,False,True,False
43,0,2,1,0,35,3,3,2,2209.0,0,0.749,4419,68,0.619,0.0,False,True,False,False,False,False,False,False,False,True,False
50,1,1,1,0,34,6,3,4,4702.0,0,0.578,1673,44,0.257,0.0,False,True,False,False,False,False,False,True,False,False,False
40,1,2,2,0,36,3,2,3,6033.0,0,0.834,4505,74,0.721,0.0,False,True,False,False,False,False,True,False,False,False,False
35,0,2,2,0,25,4,1,4,10329.0,514,0.708,2461,68,0.838,0.05,False,True,False,False,False,False,False,False,False,False,True
41,0,2,2,0,36,2,2,3,2892.0,2517,0.777,2257,48,0.714,0.87,False,False,False,False,True,False,False,False,False,True,False
49,0,3,0,0,42,2,2,3,14072.0,1917,0.653,13432,107,0.981,0.136,False,True,False,False,False,False,False,False,False,False,True
41,0,3,2,0,36,1,3,1,2067.0,1966,0.91,3033,41,0.708,0.951,False,False,False,True,False,False,False,False,False,True,False
54,0,1,2,0,41,3,3,3,1874.0,0,0.806,2535,55,0.618,0.0,False,True,False,False,False,False,False,False,False,False,True
39,1,3,1,0,36,3,3,2,32964.0,2231,1.731,3094,45,1.647,0.068,False,True,False,False,False,False,False,False,False,False,False
42,1,5,1,0,37,6,2,2,22913.0,1528,0.414,1394,35,0.522,0.067,False,False,False,False,True,False,False,False,True,False,False
50,1,4,1,0,43,2,2,5,16748.0,2413,0.769,15338,121,0.635,0.144,False,False,True,False,False,False,False,False,True,False,False
43,1,3,2,0,33,5,2,4,10533.0,1689,0.359,3651,69,0.605,0.16,False,False,False,False,False,False,True,False,False,False,False
53,0,3,1,0,39,3,2,2,4855.0,1912,0.606,14969,104,0.763,0.394,False,False,False,False,False,True,True,False,False,False,False
48,1,5,1,0,42,6,3,3,12882.0,1402,0.783,4407,84,0.647,0.109,False,True,False,False,False,False,False,False,True,False,False
39,0,3,0,0,29,5,1,2,26181.0,0,0.913,1303,35,0.75,0.0,False,False,False,False,True,False,False,False,False,False,True
52,0,3,1,0,40,3,5,1,2003.0,1735,0.855,2343,42,0.355,0.866,False,False,True,False,False,False,False,False,False,True,False
41,1,4,1,0,30,4,6,1,2450.0,1967,0.589,1263,29,0.611,0.803,False,False,False,False,False,True,False,False,False,True,False
41,0,4,3,0,32,4,3,1,3189.0,0,0.91,4813,86,0.755,0.0,False,False,False,False,True,False,False,False,False,True,False
33,1,2,1,0,25,6,3,3,6242.0,491,1.054,2187,59,0.405,0.079,False,False,False,False,False,True,False,True,False,False,False
45,0,4,2,0,40,1,2,2,7600.0,1574,0.605,4240,67,0.396,0.207,False,False,False,False,True,False,False,False,False,False,True
49,1,3,3,0,36,5,2,3,15942.0,0,0.723,1742,41,0.323,0.0,False,True,False,False,False,False,False,True,False,False,False
50,0,2,2,0,41,2,3,2,6704.0,0,0.856,12576,103,0.776,0.0,False,False,True,False,False,False,False,False,False,True,False
43,1,4,1,0,32,6,2,2,1539.0,989,0.86,1987,47,0.808,0.643,False,False,True,False,False,False,True,False,False,False,False
46,0,3,1,0,36,3,2,3,4416.0,1333,0.631,4894,84,0.647,0.302,False,True,False,False,False,False,False,False,False,True,False
54,0,2,2,0,45,5,3,5,7563.0,1465,0.511,4175,67,0.718,0.194,False,False,True,False,False,False,False,False,False,False,True
50,1,2,2,0,35,3,3,1,2514.0,1521,0.638,1636,36,0.385,0.605,False,True,False,False,False,False,False,False,True,False,False
44,0,4,3,0,33,5,3,6,1438.3,0,0.676,2316,48,0.5,0.0,True,False,False,False,False,False,False,False,False,False,True
51,0,4,1,0,41,2,3,5,3853.0,696,0.882,2443,38,0.583,0.181,False,True,False,False,False,False,False,False,False,False,True
50,0,3,1,0,44,2,2,1,1596.0,1185,0.687,5235,76,1.0,0.742,False,False,False,False,True,False,False,False,False,True,False
45,0,2,1,0,36,6,1,3,4202.0,2201,0.714,4385,78,0.66,0.524,False,True,False,False,False,False,False,False,False,True,False
42,0,2,2,3,33,1,2,3,13453.0,2517,0.619,1904,42,0.448,0.187,False,False,False,False,True,False,False,False,False,True,False
